prepare_img_data : 2020-06-11 15:13:46,607 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:13:46,607 : WARNING : Make sure the sequence length fits architecture of model
uiparser : 2020-06-11 15:13:47,030 : DEBUG : pop widget QLabel text_result
uiparser : 2020-06-11 15:13:47,030 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71cc13f558>
properties : 2020-06-11 15:13:47,033 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:13:47,034 : DEBUG : setting property alternatingRowColors
uiparser : 2020-06-11 15:13:47,034 : DEBUG : push QTableWidget table_result
uiparser : 2020-06-11 15:13:47,041 : DEBUG : pop widget QTableWidget table_result
uiparser : 2020-06-11 15:13:47,041 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71cc13f558>
uiparser : 2020-06-11 15:13:47,041 : DEBUG : pop layout QVBoxLayout verticalLayout
uiparser : 2020-06-11 15:13:47,041 : DEBUG : pop widget QWidget verticalLayoutWidget
uiparser : 2020-06-11 15:13:47,041 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61e3798>
properties : 2020-06-11 15:13:47,041 : DEBUG : setting property geometry
properties : 2020-06-11 15:13:47,042 : DEBUG : setting property font
properties : 2020-06-11 15:13:47,042 : DEBUG : setting property text
uiparser : 2020-06-11 15:13:47,042 : DEBUG : push QPushButton btn_reset
uiparser : 2020-06-11 15:13:47,042 : DEBUG : pop widget QPushButton btn_reset
uiparser : 2020-06-11 15:13:47,042 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61e3798>
properties : 2020-06-11 15:13:47,044 : DEBUG : setting property geometry
properties : 2020-06-11 15:13:47,044 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:13:47,044 : DEBUG : setting property palette
properties : 2020-06-11 15:13:47,046 : DEBUG : setting property html
uiparser : 2020-06-11 15:13:47,046 : DEBUG : push QTextBrowser text_elapsed
uiparser : 2020-06-11 15:13:47,046 : DEBUG : pop widget QTextBrowser text_elapsed
uiparser : 2020-06-11 15:13:47,046 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61e3798>
uiparser : 2020-06-11 15:13:47,047 : DEBUG : pop widget QWidget centralwidget
uiparser : 2020-06-11 15:13:47,047 : DEBUG : new topwidget <__main__.MainUI object at 0x7f71de3e9558>
properties : 2020-06-11 15:13:47,062 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:13:47,062 : DEBUG : push QMenuBar menubar
uiparser : 2020-06-11 15:13:47,062 : DEBUG : pop widget QMenuBar menubar
uiparser : 2020-06-11 15:13:47,062 : DEBUG : new topwidget <__main__.MainUI object at 0x7f71de3e9558>
uiparser : 2020-06-11 15:13:47,063 : DEBUG : push QStatusBar statusbar
uiparser : 2020-06-11 15:13:47,063 : DEBUG : pop widget QStatusBar statusbar
uiparser : 2020-06-11 15:13:47,063 : DEBUG : new topwidget <__main__.MainUI object at 0x7f71de3e9558>
uiparser : 2020-06-11 15:13:47,063 : DEBUG : pop widget MainUI MainWindow
uiparser : 2020-06-11 15:13:47,063 : DEBUG : new topwidget None
run_prediction : 2020-06-11 15:14:00,982 : INFO : Running prediction
run_prediction : 2020-06-11 15:14:00,983 : INFO : Variables set --- Model: seq30_128dense_lost0.58_f1-0.7_100x700.h5, Img_size: 100x700
run_prediction : 2020-06-11 15:14:00,983 : INFO : Running Deepsort on /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid/jing.mp4. output to /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output
utils : 2020-06-11 15:14:00,984 : INFO : Changing working directory to: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/deep_sort_pytorch
utils : 2020-06-11 15:14:00,984 : INFO : Running Deepsort on /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid/jing.mp4. output to /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output
utils : 2020-06-11 15:14:00,984 : DEBUG : Directory paths:
Deepsort_dir: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/deep_sort_pytorch, Final Video: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output/final_vid, Bbox Dir: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output/bbox_output, Input Vid Dir: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid
utils : 2020-06-11 15:14:00,984 : INFO : Correcting mobile video metadata
utils : 2020-06-11 15:14:02,705 : INFO : Calling yolov3_deepsort.py in deepsort_pytorch
utils : 2020-06-11 15:14:44,600 : INFO : Changing back working directory to: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/UI
utils : 2020-06-11 15:14:44,601 : INFO : Extracting /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid/jing.mp4 to /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output/frames
utils : 2020-06-11 15:14:54,287 : INFO : Extracting bounding box from: jing
run_prediction : 2020-06-11 15:14:55,370 : INFO : Loading model: seq30_128dense_lost0.58_f1-0.7_100x700.h5
run_prediction : 2020-06-11 15:14:57,995 : INFO : Make prediction
run_prediction : 2020-06-11 15:14:58,032 : INFO : Input shape is: (1, 30, 700, 100, 1)
